"","metname"
"63","S-Carboxymethyl-L-cysteine"
"64","Sebacic acid"
"65","Spermine"
"66","Succinic acid"
"67","Thymidine"
"68","Tyramine"
"69","Uridine"
"70","Uridine-5'-monophosphate"
"71","alpha-Lactose monohydrate"
"72","3-Guanidinopropionic acid"
"73","beta-Nicotinamide mononucleotide"
"74","Sodium phenylpyruvate"
"75","gamma-Amino-n-butyric acid"
"76","6-Aminohexanoic acid"
"77","Eriodictyol"
"78","Pelargonin chloride "
"79","Apigenin-7-O-glucoside"
"80","Rhoifolin"
"81","Keracyanin Chloride"
"82","Isorhamnetin-3-O-glucoside"
"83","Robinin"
"84","Kaempferol-3-O-glucoside"
"85","Homoorietin"
"86","Naringenin-7-O-glucoside"
"87","Peltatoside"
"88","Hyperoside"
"89","Quercetin-3-O-glucose-6''-acetate"
"90","4-Coumaric acid"
"91","Urocanic acid"
"92","N-Acetyl-D-mannosamine"
"93","O-Acetyl-L-serine hydrochloride"
"94","4-Methylumbelliferyl acetate"
"95","Pyridoxal-5'-phosphate hydrate "
"96","Pyridoxal hydrochrolide"
"97","D-(+)-Arabitol"
"98","D-Glucoheptose"
"99","3-Hydroxyanthranilic acid"
"100","(+-)-Jasmonic acid"
"101","Abscisic acid"
"102","D-(-)-Quinic acid"
"103","Chlorogenic acid Hemihydrate"
"104","O-Succinyl-L-homoserine"
"105","Pimelic acid"
"106","D-Ala-D-Ala"
"107","Carbamoyl-DL-aspartic acid"
"108","5'-Deoxy-5'-Methylthioadenosine"
"109","2-Isopropylmalic acid "
"110","L-allo-threonine"
"111","Lignoceric Acid"
"112","Vanillin"
"113","D-erythro-Dihydrosphingosine"
"114","5-Aminovaleric acid"
"115","m-Hydroxycinnamic acid"
"116","D-Sorbitol-6-phosphate barium salt "
"117","Suberic acid"
"118","L-Threonic acid hemicalcium salt"
"119","2,2',2''-Nitrilotriethanol"
"120","Malvin chloride"
"121","Flavanomarein"
"122","Luteolin-3',7-di-O-glucoside"
"123","Luteolin-4'-O-glucoside"
"124","Neoeriocitrin"
"125","Ononin"
"126","Orientin"
"127","Phloridzin"
"128","Poncirin"
"129","Saponarin"
"130","N-Acetyl-DL-serine"
"131","DL-Homocysteine"
"132","S-(5'-Adenosyl)-L-methionine chloride "
"133","Kaempferol-3-Rhamnoside-4''-Rhamnoside,-7-Rhamnoside"
"134","Kaempferol-3-O-alpha-L-arabinoside"
"135","Myricetin-3-Galactoside"
"136","7-O-Methylquercetin-3-Galactoside-6''-Rhamnoside-3'''-Rhamnoside"
"137","alpha-Methyl-DL-histidine dihydrochloride"
"138","3-Hydroxy-3-methylglutarate"
"139","Salicylic Acid"
"140","3-Methyl-L-histidine"
"141","DL-5-Hydroxylysine  hydrochloride"
"142","L-Anserine"
"143","Glycyl-L-proline"
"144","(-)-Riboflavin"
"145","trans-Aconitic acid"
"146","Choline chloride"
"147","Kynurenic acid"
"148","Trigonelline hydrochloride"
"149","N-Acetyl-DL-glutamic acid"
"150","DL-Pipecolinic acid"
"151","Maleic acid"
"152","D-(+)-Raffinose pentahydrate "
"153","Cyanidin-3-O-rhamnoside chloride"
"154","S-Methyl-L-cysteine"
"155","D-Glucuronic acid"
"156","Betaine"
"157","Quercetin-3-O-alpha-L-rhamnopyranosyl(1->2)-beta-D-glucopyranoside-7-O-alpha-L-rhamnopyranoside"
"158","1-O-b-D-Glucopyranosyl sinapate"
"159","DL-Glyceric Acid calcium Salt"
"160","D-Glucurono-6,3-lactone"
"161","Cyanidin-3-O-alpha-arabinopyranoside"
"162","Petunidin-3-O-beta-glucopyranoside"
"163","Quercetin-3,4'-O-di-beta-glucopyranoside"
"164","Cyanidin-3-O-(2''-O-beta-xylopyranosyl-beta-glucopyranoside)"
"165","Peonidin-3,5-O-di-beta-glucopyranoside"
"166","Delphinidin-3-O-(2''-O-beta-xylopyranosyl-beta-glucopyranoside)"
"167","Cyanidin-3-O-(2''-O-beta-xylopyranosyl-beta-glucopyranoside)-5-O-beta-glucopyranoside"
"168","6,7-Dihydroxycoumarin "
"169","Esculin sesquihydrate "
"170","Stachyose n-Hydrate"
"171","L-Leucine, (Cell Culture Reagent, Crystalline)"
"172","L-Isoleucine"
"173","beta-Alanine"
"174","Luteolin 7-O-glucuronide"
"175","Apigenin 7-O-glucuronide"
"176","2i_Kaempferol-3-O-alpha-L-rhamnopyranosyl(1->2)-beta-D-glucopyranoside-7-O-alpha-L-rhamnopyranoside_Kaempferol-3-Glucoside-2''-Rhamnoside,-7-Rhamnoside"
"177","3i_Isorhamnetin-3-O-rutinoside_Isorhamnetin-3-Glucoside-6''-Rhamnoside_Isorhamnetin-3-Galactoside-6''-Rhamnoside"
"178","7i_Kaempferol-3-O-rutinoside_Datiscin_Kaempferol-3-O-beta-D-glucoside-7-O-alpha-L-rhamnoside_Kaempferol-3-O-beta-D-galactoside-7-O-alpha-L-rhamnoside_Kaempferol-3-O-b-glucopyranosyl-7-O-a-rhamnopyranoside_kaempferol-7-O-neohesperidoside_Kaempferol-3-Gluco"
"179","2i_Cyanidin-3,5-di-O-glucoside chloride_Cyanidin-3-O-(2''-O-beta-glucopyranosyl-beta-glucopyranoside)"
"180","2i_Ideain chloride_Cyanidin-3-glucoside chloride"
"181","2i_Maritimein_luteolin-7-O-glucoside"
"182","2i_Eriodictyol-7-O-glucoside_Marein"
"183","2i_Quercetin-3-Arabinoside_Quercetin-3-D-xyloside"
"184","2i_Malvidin-3-galactoside chloride_Oenin"
"185","2i_Peonidin-3-o-beta-d-glucopyranoside_Peonidin-3-O-beta-galactopyranoside"
"186","3i_(+)-Catechin hydrate_(+)-Epicatechin"
"187","3i_Sodium pantothenate_D-Pantothenic acid hemicalcium salt_Calcium (+)-pantothenate"
"188","2i_alpha-D-Glucose-1-phosphate dipotassium salt dihydate_alpha-D-Galactose-1-phosphate dipotassium salt pentahydrate"
"189","2i_D-Mannose-6-phosphate barium salt hydrate_D-Mannose 6-phosphate mono sodium salt"
"190","4i_D-Fructose-6-phosphate disodium salt hydrate _D-Glucose-6-phosphate sodium salt _alpha-D-(+)-mannose-1-phosphate sodium salt hydrate_alpha-D(+)Mannose 1-phosphate bis(cyclohexylammonium) salt"
"191","2i_D(+)-Galactosamine hydrochloride_D-(+)-Glucosamine hydrochloride"
"192","cis or trans-Zeatin"
"193","cis or trans-4-Hydroxy-3-methoxycinnamic acid_Ferulic acid"
"194","Guanosine-5'-monophosphate disodium salt hydrate"
"195","2i_D-(+)-Cellobiose_Lactulose"
"196","6i_Melibiose hydrate_D-(+)-Turanose_Isomaltose_Gentiobiose_MelibiosePalatinose Monohydrate"
"197","3i_L-Iditol_D-Sorbitol_D-(-)-Mannitol"
"198","4i_L(+)-Arginine HCl_N-alpha-Acetyl-L-ornithine_L-Citrulline"
"199","3i_rac-Glycerol 3-phosphoate disodium salt hexahydrate_Disodium Glycerophoshate 5.5-Hydrate_L-Glycerol-2-phosphate Disodium Salt n-Hydrate"
"200","2i_Histamine_Cytosine"
"201","2i_Nicotinamide_Niacinamide"
"202","3i_Glycolaldehyde dimer,mixture of stereoisomers_D-Erythrose_D(-)-Threose"
"203","2i_L-Alanine_Sarcosine"
"204","2i_L-Norvaline_L-Valine"
"205","3i_L-Threonine_alpha-Methyl-DL-serine_L-Homoserine"
"206","3i_L-2-Aminobutyric acid_N,N-Dimethylglycine hydrochloride_N-Methyl-DL-Alanine"
"207","2i_(S)-(+)-1-Aminoethylphosphonic acid_Taurine"
"208","2i_Indole-3-carboxyaldehyde_Indole-3-aldehyde"
"209","DL-Malic acid"
"210","2i_alpha-Ketoglutaric acid disodium salt_2-Oxoglutaric Acid"
"211","L-CarnitineHCl"
"212","DL-2-Aminoadipic Acid "
"213","2i_Adipic acid_2-Methylglutaric Acid"
"214","(-)-Citramalic acid"
"215","4-Hydroxybenzoate"
"216","L-Lysine HCl"
"217","2i_Nicotinic Acid_Isonicotinic acid"
"218","2i_L-Norleucine_D-Alloisoleucine"
"219","2i_Quercitrin_Quercetin-7-O-rhamnoside"
"220","2i_Rutin _Quercetin-3-O-b-glucopyranosyl-7-O-a-rhamnopyranoside"
"221","2i_D-(+)-Melezitose monohydrate_1-Kestose"
"222","Apigenin"
"223","Luteolin"
"224","Cyanidin"
"225","Cyanidin 3-(6''-malonylglucoside)"
"226","Cyanidin 3-(3'',6''-dimalonylglucoside)"
"227","Quercetin 3-Glucoside <Isoquercitrin>"
"228","Soyasaponin I (Bb)"
"229","Liquiritin"
"230","Schaftoside"
"231","Formononetin"
"232","Glycitin"
"233","Genistin"
"234","Daidzein"
"235","Daidzin"
"236","6''-O-Malonyldaidzin"
"237","6''-O-Malonylgenistin"
"238","Soyasaponin Be"
"239","Glycitein"
"240","Genistein"
"241","(+-)-Synephrine"
"242","(-)-Epigallocatechin"
"243","(-)-Gallocatechin"
"244","R-(+)-Citronellic acid"
"245","Coumestrol"
"246","Quercetin 4'-glucoside"
"247","Quercetin 3, 4'-Diglucoside"
"248","6''-O-Malonylglycitin"
"249","6''-O-Acetyldaidzin"
"250","6''-O-Acetylgenistin"
"251","Delphinidin 3-Rutinoside Chloride"
"252","Delphinidin 3-Galactoside Chloride"
"253","Cyanidin 3-Galactoside Chloride"
"254","Petunidin 3-Glucoside Chloride"
"255","Petunidin 3-Galactoside Chloride"
"256","Peonidin 3-Galactoside Chloride"
"257","Glyceollin I"
"258","2'-Hydroxydaidzein"
"259","Apiin"
"260","Pratensein"
"261","3'-Methoxydaidzein"
"262","Vicenin -3"
"263","Orobol"
"264","3'-O-Methylorobol"
"265","6-Hydroxydaidzein"
